time,gpu-id,gpu_util_percent,mem_util_percent,mem_util_MB,mem_free_MB,mem_total_MB,phase,epoch,step
1768163461.227377,0,7,0,1118.4375,14241.5625,15360.0,init,-1,-1
1768163461.3361824,0,20,1,1134.4375,14225.5625,15360.0,init,-1,-1
1768163461.4384503,0,20,1,1134.4375,14225.5625,15360.0,init,-1,-1
1768163461.5407603,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163461.642983,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163461.7936418,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163461.8969686,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163462.0012095,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163462.1043553,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163462.2069569,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163462.3097503,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163462.4212384,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163462.523425,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163462.625765,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163462.7278447,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163462.8301327,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163462.9322684,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163463.0344927,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163463.1929657,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163463.2958107,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163463.3979986,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163463.5005612,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163463.6033516,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163463.7060041,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163463.808436,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163463.9122062,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163464.016227,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163464.1222188,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163464.225237,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163464.3273616,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163464.429655,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163464.531926,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163464.6343632,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163464.7366521,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163464.8388531,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163464.9409661,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163465.0434341,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163465.1462061,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163465.2486396,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163465.3508627,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163465.4532087,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163465.555496,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163465.6577716,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163465.7600272,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163465.8623533,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163465.9646919,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163466.067161,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163466.1698294,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163466.27213,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163466.3743017,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163466.4764736,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163466.5786207,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163466.6808562,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163466.7830641,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163466.88528,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163466.987464,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163467.0902169,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163467.194081,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163467.2968035,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163467.3993337,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163467.5018702,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163467.604514,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163467.7073016,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163467.8112087,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163467.9139118,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163468.0165052,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163468.1192005,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163468.2212174,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163468.323353,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163468.4256072,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163468.5276718,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163468.629782,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163468.731777,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163468.8338504,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163468.9359918,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163469.0386846,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163469.140731,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163469.2428036,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163469.3448603,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163469.4469154,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163469.5491986,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163469.651345,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163469.7932057,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163469.895319,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163469.9984941,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163470.1016574,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163470.2072065,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163470.309891,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163470.4132462,0,0,0,1134.4375,14225.5625,15360.0,init,-1,-1
1768163470.515422,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163470.6209564,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163470.7244165,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163470.8278654,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163470.9305143,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163471.0330343,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163471.1351976,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163471.2375073,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163471.3397233,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163471.4419472,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163471.5445278,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163471.6466923,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163471.748916,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163471.8511107,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163471.9532008,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163472.0559278,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163472.1585627,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
1768163472.2608602,0,0,0,1134.4375,14225.5625,15360.0,validation,0,0
