time,gpu-id,gpu_util_percent,mem_util_percent,mem_util_MB,mem_free_MB,mem_total_MB,phase,epoch,step
1768162281.2426202,0,9,0,1116.4375,14243.5625,15360.0,init,-1,-1
1768162281.3505113,0,16,1,1132.4375,14227.5625,15360.0,init,-1,-1
1768162281.4542181,0,16,1,1132.4375,14227.5625,15360.0,init,-1,-1
1768162281.556319,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162281.6587071,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162281.7608256,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162281.8632095,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162281.9656863,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162282.0681913,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162282.170219,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162282.2783442,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162282.3863223,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162282.4884086,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162282.5904975,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162282.6930325,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162282.7952135,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162282.8974867,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162282.9996462,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162283.1016088,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162283.2040405,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162283.3060458,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162283.4079833,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162283.5100126,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162283.6124067,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162283.7142134,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162283.8162189,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162283.919919,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162284.0289187,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162284.1309853,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162284.2329774,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162284.335139,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162284.4372172,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162284.5394125,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162284.6416109,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162284.7438462,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162284.8458962,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162284.9483287,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162285.0504017,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162285.1525552,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162285.2546437,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162285.3567326,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162285.4587023,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162285.5606544,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162285.6625957,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162285.7646925,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162285.8667989,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162285.968961,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162286.0711591,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162286.1732688,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162286.2755775,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162286.3777637,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162286.479788,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162286.5852065,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162286.6873188,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162286.7892883,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162286.8913271,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162286.9940066,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162287.0960016,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162287.1979802,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162287.3003201,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162287.4025903,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162287.5047135,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
1768162287.6066906,0,0,0,1132.4375,14227.5625,15360.0,init,-1,-1
